tweet_id,created_at,text
905794339904790528,2017-09-07 14:06:14,"b'Disfruta lo que vivas, saca el m\xc3\xa1ximo de todo, porque en todo hay\xe2\x80\xa6 https://t.co/30QTmz6OSY'"
896253973551775745,2017-08-12 06:16:13,b'Tony y Aurelio #humildadal100 @saucedo_o https://t.co/UQ9x1J7h8U'
894924855514198016,2017-08-08 14:14:47,b'Se les acab\xc3\xb3 el gordito!!! \xf0\x9f\x90\xb7\xe2\x9d\x8c\xf0\x9f\x94\x9a\xf0\x9f\x94\x9c\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x8f\x8b\xf0\x9f\x8f\xbc #gym #trx @ Roble Fitness Center https://t.co/LAJfvWuwLN'
894401477229281280,2017-08-07 03:35:04,b'Siempre te dir\xc3\xa1n lo que parece pero nunca lo que es... #boomerang\xe2\x80\xa6 https://t.co/7DmYFDJEwL'
891865210750988289,2017-07-31 03:36:50,b'Hahahaha me hizo la noche!!!#lion #singlikeanangel #hahaha https://t.co/TZgYiRPTSw'
891388928544182273,2017-07-29 20:04:16,b'El deporte m\xc3\xa1s bello del mundo \xe2\x9a\xbd\xef\xb8\x8f #atleticodesanluis 2-0 #futbol\xe2\x80\xa6 https://t.co/PCXAEi0okj'
889643002741870593,2017-07-25 00:26:35,b'Dame una se\xc3\xb1al... #tattoo #tuasemper\xe2\x9d\xa4\xef\xb8\x8f https://t.co/kvPdSSsMcU'
889180783495200768,2017-07-23 17:49:53,b'Y as\xc3\xad es como te marca la vida...  #tattoo #tuasemper \xe2\x9d\xa4\xef\xb8\x8f https://t.co/Qok7Ho7HvD'
888581661566287872,2017-07-22 02:09:11,b'A veces no todo es tan malo... Tienes que hacer las cosas dif\xc3\xadciles.\xe2\x80\xa6 https://t.co/aBXYxgahzf'
888577310538035200,2017-07-22 01:51:54,b'#hiking @ Cerro del Fraile https://t.co/aBXYxfSGHH'
886423389103157249,2017-07-16 03:12:59,b'#shhhhhhh!!!! \xf0\x9f\xa4\x90 dvd_cervantes https://t.co/HwA2j1SBY7'
883888372179247104,2017-07-09 03:19:44,"b'Agradezco tanto el poder compartir tantos momentos contigo, el poder sentir el ser uno solo, el\xe2\x80\xa6 https://t.co/Js7rAUfEOA'"
883847629104447489,2017-07-09 00:37:50,b'Doy gracias por poder compartir una tarde con mi chica hermosa \xf0\x9f\x98\x98\xf0\x9f\x98\x8d @magdashz #iloveyou #vine \xf0\x9f\x8d\xb7 @\xe2\x80\xa6 https://t.co/dssxjZKS8Z'
882982793676034052,2017-07-06 15:21:17,"b'Que manera tan m\xc3\xa1s bonita de decir ""\xc3\x89chale muchas ganas, te amo tanto y como te extra\xc3\xb1o"" muchas\xe2\x80\xa6 https://t.co/aTL1IlmndE'"
857811364328472577,2017-04-28 04:19:01,b'\xf0\x9f\xa4\xa4\xf0\x9f\xa5\x97\xf0\x9f\x8d\xba#delicious #salad #stelaartois #dinner @ Lagos de Moreno Pueblo M\xc3\xa1gico https://t.co/iVN7KqfVAK'
833620551516172292,2017-02-20 10:13:22,b'Un peque\xc3\xb1o Coati en el cerro #cerrotepozteco #tepoztl\xc3\xa1n #trip #pueblomagico \xf0\x9f\x90\x95 @ Tepoztl\xc3\xa1n https://t.co/Wii4KWlttF'
833371510668718080,2017-02-19 17:43:46,b'Visitando pueblos m\xc3\xa1gicos con una m\xc3\xa1gica persona \xf0\x9f\x98\x8d #teamoflaca #pueblomagico #trip #tepoztl\xc3\xa1n\xe2\x80\xa6 https://t.co/wybfRD0sHb'
833333451432611842,2017-02-19 15:12:32,"b'La vista ma\xc3\xb1anera desde el hotel #Taxco #pueblomagico #trip @ Taxco ""Pueblo Magico"" https://t.co/yUXoQWfq7n'"
824459618172575744,2017-01-26 03:31:05,b'The Lion King \xf0\x9f\xa6\x81\xf0\x9f\x91\x91\xf0\x9f\x8e\x9f #theatre #disney #cdmx @ El Rey Leon https://t.co/YecEr3M4kZ'
